"","school_type","tuition_and_fees","in_state","start_med_slry","mid_car_slry","tuition","tuitionState"
"1","State",28840,10696,45400,84700,115360,42784
"2","State",22164,9044,53600,95900,88656,36176
"3","State",18332,10796,39800,72100,73328,43184
"4","Ivy League",51367,NA,56200,109000,205468,NA
"5","Engineering",47577,NA,75500,123000,190308,NA
"6","State",17596,6436,45700,87000,70384,25744
"7","State",32796,14240,48400,86000,131184,56960
"8","Engineering",34828,17383,58100,106000,139312,69532
"9","State",28374,11080,44800,79000,113496,44320
"10","Ivy League",55056,NA,59400,107000,220224,NA
"11","Ivy League",50953,NA,60300,110000,203812,NA
"12","Ivy League",51438,NA,58000,134000,205752,NA
"13","State",22904,6946,40200,67500,91616,27784
"14","State",24673,9507,42100,73000,98692,38028
"15","Party",24673,9507,42100,73000,98692,38028
"16","State",32582,11300,47800,86900,130328,45200
"17","Engineering",32404,12212,58300,106000,129616,48848
"18","Ivy League",47074,NA,63400,124000,188296,NA
"19","Engineering",40726,NA,56000,97800,162904,NA
"20","Engineering",45214,NA,56000,97800,180856,NA
"21","State",20886,13296,42000,73400,83544,53184
"22","State",34246,10388,46300,84000,136984,41552
"23","Party",34246,10388,46300,84000,136984,41552
"24","State",21483,7969,45400,84600,85932,31876
"25","State",23429,9350,43300,79000,93716,37400
"26","State",18376,10012,38700,62600,73504,40048
"27","Engineering",48452,NA,72200,126000,193808,NA
"28","State",20142,7502,44500,79300,80568,30008
"29","State",21234,6729,44300,79500,84936,26916
"30","State",19790,9046,45100,77800,79160,36184
"31","State",21208,11744,42200,73400,84832,46976
"32","Party",21208,11744,42200,73400,84832,46976
"33","State",20978,7778,42800,80700,83912,31112
"34","State",28846,10366,45100,83300,115384,41464
"35","Ivy League",45320,NA,66500,131000,181280,NA
"36","State",29791,9205,51400,90500,119164,36820
"37","Engineering",50797,NA,61100,110000,203188,NA
"38","Engineering",38568,NA,48900,84600,154272,NA
"39","State",29480,13829,50300,91800,117920,55316
"40","State",18244,7084,46200,85200,72976,28336
"41","State",11403,8172,41100,73500,45612,32688
"42","State",22244,9124,44500,92200,88976,36496
"43","Party",22244,9124,44500,92200,88976,36496
"44","State",26270,9770,46200,81700,105080,39080
"45","Engineering",48838,NA,60600,105000,195352,NA
"46","State",26266,9026,49500,93000,105064,36104
"47","Engineering",24800,16311,46200,80000,99200,65244
"48","State",17654,7766,39200,70100,70616,31064
"49","State",20622,9128,43100,82700,82488,36512
"50","State",30025,10872,47500,86100,120100,43488
"51","State",23168,8820,44100,82800,92672,35280
"52","State",39518,12836,52600,101000,158072,51344
"53","State",40191,13509,59900,112000,160764,54036
"54","State",40728,14046,52300,99600,162912,56184
"55","State",39458,14750,48300,96700,157832,59000
"56","State",40263,13581,46800,81300,161052,54324
"57","State",41387,14705,51100,101000,165548,58820
"58","Party",40704,14022,50500,95000,162816,56088
"59","State",40704,14022,50500,95000,162816,56088
"60","State",22467,6368,42600,71700,89868,25472
"61","State",35079,11531,47100,97600,140316,46124
"62","State",29334,10404,46100,84400,117336,41616
"63","State",31420,12520,45900,84500,125680,50080
"64","State",28666,6389,47100,87900,114664,25556
"65","Party",28666,6389,47100,87900,114664,25556
"66","State",29844,11634,44100,86000,119376,46536
"67","Party",29844,11634,44100,86000,119376,46536
"68","State",25410,10710,46000,79900,101640,42840
"69","State",22040,7232,44900,82000,88160,28928
"70","Party",31320,15698,52900,96100,125280,62792
"71","State",31320,15698,52900,96100,125280,62792
"72","Party",28413,8325,44700,83900,113652,33300
"73","State",28413,8325,44700,83900,113652,33300
"74","State",25932,10549,42400,81600,103728,42196
"75","State",26334,11484,42800,78300,105336,45936
"76","State",24492,11264,47000,77800,97968,45056
"77","State",32023,13435,45600,78200,128092,53740
"78","State",19270,12588,43200,77700,77080,50352
"79","State",29125,13427,45400,86600,116500,53708
"80","Party",22012,7744,41400,79700,88048,30976
"81","State",22012,7744,41400,79700,88048,30976
"82","State",26277,10065,41400,67100,105108,40260
"83","State",24562,6446,37300,71900,98248,25784
"84","State",21052,7142,46500,82900,84208,28568
"85","Party",31424,17624,41800,78300,125696,70496
"86","State",31424,17624,41800,78300,125696,70496
"87","State",21302,7071,41600,81600,85208,28284
"88","State",33916,8834,42900,81500,135664,35336
"89","State",20193,6617,43100,74000,80772,26468
"90","State",18899,4965,44000,80600,75596,19860
"91","State",21451,8065,44700,82900,85804,32260
"92","State",33442,10762,42200,78400,133768,43048
"93","Ivy League",51464,NA,60900,120000,205856,NA
"94","State",28852,12862,43900,85300,115408,51448
"95","State",31282,11854,40000,71700,125128,47416
"96","State",17325,6410,41100,71100,69300,25640
"97","Party",30858,12668,43800,74600,123432,50672
"98","State",30858,12668,43800,74600,123432,50672
"99","State",27039,8518,45400,83200,108156,34072
"100","State",40364,17300,44800,82700,161456,69200
"101","State",16215,5055,44500,78700,64860,20220
"102","State",19772,6866,43800,78700,79088,27464
"103","State",31608,13076,42000,68400,126432,52304
"104","Engineering",29371,12852,53500,95400,117484,51408
"105","State",21432,7632,43100,78100,85728,30528
"106","Party",21432,7632,43100,78100,85728,30528
"107","State",25713,11029,42300,73800,102852,44116
"108","Ivy League",49480,NA,59100,126000,197920,NA
