"","state","abbreviation","region","school_name","start_med_slry","mid_car_slry","mid_car_10th","mid_car_25th","mid_car_75th","mid_car_90th"
"1","Alabama","AL","Southern","Rice University",64000,110000,55900,82100,141000,216000
"2","Alabama","AL","Southern","Georgetown University",55000,110000,60300,85800,174000,248000
"3","Alabama","AL","Southern","Duke University",58900,106000,56000,77400,149000,218000
"4","Alabama","AL","Southern","Georgia Institute of Technology",58300,106000,67200,85200,137000,183000
"5","Alabama","AL","Southern","Washington and Lee University",53600,104000,NA,82800,146000,NA
"6","Alabama","AL","Southern","Vanderbilt University",51200,104000,49900,68100,147000,222000
"7","Alabama","AL","Southern","Davidson College",46100,104000,NA,70500,146000,NA
"8","Alabama","AL","Southern","University of Virginia (UVA)",52700,103000,52200,71800,146000,215000
"9","Alabama","AL","Southern","George Washington University (GWU)",47000,97900,48400,69600,132000,194000
"10","Alabama","AL","Southern","Texas A&M University",49700,96100,51100,71300,131000,171000
"11","Alabama","AL","Southern","Tulane University",49100,95800,46500,64400,134000,185000
"12","Alabama","AL","Southern","Virginia Polytechnic Institute and State University (Virginia Tech)",53500,95400,50600,71400,124000,163000
"13","Alabama","AL","Southern","University of Maryland, College Park",52000,95000,50400,68300,126000,166000
"14","Alabama","AL","Southern","University of Richmond",48600,94600,44500,59400,151000,211000
"15","Alabama","AL","Southern","University of Texas (UT) - Austin",49700,93900,50100,67400,129000,188000
"16","Alabama","AL","Southern","Emory University",52000,91600,52500,63300,128000,192000
"17","Alabama","AL","Southern","American University, Washington D.C.",45300,90800,45200,62400,134000,169000
"18","Alabama","AL","Southern","University of Tulsa",42400,88700,42300,60300,120000,197000
"19","Alabama","AL","Southern","Baylor University",48300,88600,46300,60700,130000,2e+05
"20","Alabama","AL","Southern","University of Florida (UF)",47100,87900,45400,62900,120000,172000
"21","Alabama","AL","Southern","Louisiana State University (LSU)",46900,87800,43700,61300,120000,165000
"22","Alabama","AL","Southern","George Mason University",47800,86900,51300,67200,114000,150000
"23","Alabama","AL","Southern","Clemson University",48400,86000,50500,61800,111000,150000
"24","Alabama","AL","Southern","University of Georgia (UGA)",44100,86000,43100,57800,118000,164000
"25","Alabama","AL","Southern","Auburn University",45400,84700,45400,62700,109000,145000
"26","Alabama","AL","Southern","University of Delaware",45900,84500,44500,64000,119000,165000
"27","Alabama","AL","Southern","Randolph-Macon College",42600,83600,NA,54100,123000,NA
"28","Alabama","AL","Southern","North Carolina State University (NCSU)",47200,83300,49200,64800,112000,153000
"29","Alabama","AL","Southern","University of Oklahoma",44700,82900,41200,60300,114000,167000
"30","Alabama","AL","Southern","University of Arkansas",44100,82800,43200,60700,113000,160000
"31","Alabama","AL","Southern","University of Alabama at Huntsville (UAH)",43100,82700,46100,67800,106000,132000
"32","Alabama","AL","Southern","Howard University",46900,81800,43300,60000,109000,138000
"33","Alabama","AL","Southern","University of North Carolina at Chapel Hill (UNCH)",42900,81500,43400,57500,117000,155000
"34","Alabama","AL","Southern","University of Alabama, Tuscaloosa",41300,81400,40100,56500,117000,161000
"35","Alabama","AL","Southern","University of Texas at Arlington (UTA)",45400,80800,46400,61200,106000,138000
"36","Alabama","AL","Southern","Oklahoma State University",42800,80700,40100,56500,114000,151000
"37","Alabama","AL","Southern","Tennessee Technological University",46200,80000,42100,62600,99500,121000
"38","Alabama","AL","Southern","University of Houston (UH)",46000,79900,42000,56200,106000,141000
"39","Alabama","AL","Southern","University of Mississippi",41400,79700,40400,53500,108000,186000
"40","Alabama","AL","Southern","Lamar University",46500,79400,38700,51600,114000,158000
"41","Alabama","AL","Southern","Mississippi State University (MSU)",44500,79300,43300,58800,108000,151000
"42","Alabama","AL","Southern","University of Kentucky (UK)",42800,78300,43000,57300,107000,149000
"43","Alabama","AL","Southern","Texas Christian University (TCU)",45100,78100,42600,56600,122000,183000
"44","Alabama","AL","Southern","West Virginia University (WVU)",43100,78100,39700,55700,106000,141000
"45","Alabama","AL","Southern","University of Maryland Baltimore County (UMBC)",47000,77800,46900,59100,105000,130000
"46","Alabama","AL","Southern","University of Louisiana (UL) at Lafayette",41100,76300,42000,54500,107000,163000
"47","Alabama","AL","Southern","Florida International University (FIU)",43200,75500,40500,55800,98200,136000
"48","Alabama","AL","Southern","University of Tennessee",43800,74600,41900,53200,106000,153000
"49","Alabama","AL","Southern","University of Arkansas - Monticello (UAM)",39200,74500,NA,46100,110000,NA
"50","Alabama","AL","Southern","University of North Carolina at Charlotte (UNCC)",43100,74000,38200,53200,99500,133000
"51","Alabama","AL","Southern","Georgia State University",41800,74000,43000,55300,99900,145000
"52","Alabama","AL","Southern","LeTourneau University",49500,73800,41200,52700,95200,126000
"53","Alabama","AL","Southern","Florida State University (FSU)",42100,73000,39600,52800,107000,156000
"54","Alabama","AL","Southern","University of Texas at El Paso (UTEP)",43400,72100,37700,50400,99500,133000
"55","Alabama","AL","Southern","University of Central Florida (UCF)",42600,71700,39500,51500,98400,125000
"56","Alabama","AL","Southern","University of South Carolina",40000,71700,36300,49900,98400,131000
"57","Alabama","AL","Southern","Florida Atlantic University (FAU)",42600,71100,40700,53000,99500,137000
"58","Alabama","AL","Southern","University of South Florida (USF)",41100,71100,39600,51500,98100,131000
"59","Alabama","AL","Southern","University of Texas at San Antonio (UTSA)",42500,70700,39100,49800,92700,121000
"60","Alabama","AL","Southern","University of Alabama at Birmingham (UAB)",39200,70100,43000,53400,91400,125000
"61","Alabama","AL","Southern","University of Memphis (U of M)",41400,69700,36100,49100,93500,127000
"62","Alabama","AL","Southern","Appalachian State University",40400,69100,37200,50400,90800,115000
"63","Alabama","AL","Southern","Virginia Commonwealth University (VCU)",42000,68400,37400,51900,1e+05,123000
"64","Alabama","AL","Southern","East Carolina University (ECU)",40200,67500,38400,52000,98700,151000
"65","Alabama","AL","Southern","Western Carolina University",36900,66600,39000,49500,94400,133000
"66","Alabama","AL","Southern","Jacksonville University",46700,66200,36700,47200,88500,121000
"67","Alabama","AL","Southern","University of North Carolina at Wilmington (UNCW)",37500,64400,32100,46600,97100,129000
"68","Alabama","AL","Southern","Oklahoma City University",40000,64300,NA,45400,80600,NA
