name,rank,tuition_and_fees,in_state
Princeton University,1,"$45,320",
Harvard University,2,"$47,074",
University of Chicago,3,"$52,491",
Yale University,3,"$49,480",
Columbia University,5,"$55,056",
Stanford University,5,"$47,940",
Massachusetts Institute of Technology (MIT),7,"$48,452",
Duke University,8,"$51,265",
University of Pennsylvania,8,"$51,464",
Johns Hopkins University,10,"$50,410",
Dartmouth College,11,"$51,438",
California Institute of Technology (CIT),12,"$47,577",
Northwestern University,12,"$50,855",
Brown University,14,"$51,367",
Cornell University,15,"$50,953",
Rice University,15,"$43,918",
University of Notre Dame,15,"$49,685",
Vanderbilt University,15,"$45,610",
Washington University in St. Louis,19,"$49,770",
Emory University,20,"$47,954",
Georgetown University,20,"$50,547",
"University of California, Berkeley",20,"$40,191","$13,509"
University of Southern California,23,"$52,217",
Carnegie Mellon University,24,"$52,040",
University of California at Los Angeles (UCLA),24,"$39,518","$12,836"
University of Virginia,24,"$45,066","$15,722"
Tufts University,27,"$52,430",
University of Michigan--Ann Arbor,27,"$43,476","$13,856"
Wake Forest University,27,"$49,308",
University of North Carolina at Chapel Hill (UNCH),30,"$33,916","$8,834"
Boston College,31,"$51,296",
College of William & Mary,32,"$41,718","$18,687"
University of Rochester,32,"$50,142",
Brandeis University,34,"$51,570",
Georgia Institute of Technology,34,"$32,404","$12,212"
New York University,36,"$49,062",
Case Western Reserve University,37,"$46,006",
"University of California, Santa Barbara (UCSB)",37,"$40,704","$14,022"
Boston University,39,"$50,240",
Northeastern University,39,"$47,655",
Rensselaer Polytechnic Institute (RPI),39,"$50,797",
Tulane University,39,"$51,010",
"University of California, Irvine (UCI)",39,"$39,458","$14,750"
Lehigh University,44,"$48,320",
"University of California, Davis",44,"$40,728","$14,046"
"University of California, San Diego (UCSD)",44,"$41,387","$14,705"
University of Illinois at Urbana-Champaign (UIUC),44,"$31,320","$15,698"
University of Miami,44,"$47,004",
University of Wisconsin--Madison,44,"$32,738","$10,488"
Pepperdine University,50,"$50,022",
